;;;Interrupt;;;;Polling;
Bez;inc;Soll;Int LB 1;Int LB 2;Int LB 11-21;Int LB 12-22;Puls LB 1;Puls LB 2
Geschwindigkeit [km/h]:;281;188.5;195.77;199.38;192.18;194.65;191.43;195.03
Geschwindigkeit [km/h]:;282;188.5;201.87;192.86;197.61;191.37;198.93;195.03
Geschwindigkeit [km/h]:;283;188.5;195.18;192.86;194.23;192.58;197.56;202.66
Geschwindigkeit [km/h]:;284;188.5;195.77;193.43;195.06;193.4;197.56;195.03
Geschwindigkeit [km/h]:;285;188.5;195.77;186.74;196.75;190.17;191.29;194.89
Geschwindigkeit [km/h]:;286;188.5;188.92;192.86;192.58;195.48;204.26;195.92
Geschwindigkeit [km/h]:;287;188.5;195.77;193.43;197.18;195.48;197.56;196.96
Geschwindigkeit [km/h]:;288;188.5;195.77;192.86;194.23;192.18;198.47;196.96
Geschwindigkeit [km/h]:;289;188.5;195.18;192.86;194.23;192.58;192.14;195.03
Geschwindigkeit [km/h]:;290;188.5;195.77;193.43;199.34;197.61;204.26;195.03
Geschwindigkeit [km/h]:;291;188.5;201.87;192.86;195.48;189.38;198.62;195.03
Geschwindigkeit [km/h]:;292;188.5;195.18;192.86;195.91;194.23;197.56;196.07
